service_id,age,years_of_service,deployment_days_last_90,avg_duty_hours_per_week,consecutive_duty_days,leave_days_taken_last_90,sleep_hours_avg,family_contact_days_last_30,disciplinary_flags_last_180,prior_incident_count,self_report_mood_score,journal_text,latent_stress_true,risk_label
SVC00007,45,19,39,50.5,3,10,5.23,18,0,0,10,"Slept well last night, feeling fresh for duty.",0.3,Low
SVC00007,45,19,77,58.6,29,4,5.93,17,0,0,1,"Struggling to cope, everything feels overwhelming lately.",0.742,High
SVC00007,45,19,65,37.0,25,14,5.17,9,0,1,6,"Slept well last night, feeling fresh for duty.",0.379,Low
SVC00008,29,11,76,53.7,19,1,6.5,17,0,0,1,"Extremely exhausted, haven't slept properly in days.",0.672,High
SVC00008,29,11,82,58.3,28,0,6.05,3,0,0,1,"Good day today, training went well and I got some rest.",0.742,High
SVC00008,29,11,60,48.6,24,1,7.62,15,0,0,5,"Usual duty hours, a bit tired but okay overall.",0.661,High
SVC00008,29,11,7,44.9,26,12,5.05,14,0,0,6,"Nothing unusual, just getting through the schedule.",0.365,Low
SVC00008,29,11,6,57.7,19,3,3.82,17,0,0,8,"Routine day, nothing much to report.",0.418,Medium
SVC00008,29,11,49,49.7,24,13,6.67,11,1,0,6,"Extremely exhausted, haven't slept properly in days.",0.503,Medium
SVC00009,25,7,46,75.4,4,1,6.29,18,0,0,3,"Nothing unusual, just getting through the schedule.",0.599,Medium
SVC00009,25,7,37,42.0,26,3,3.51,12,0,0,4,"Extremely exhausted, haven't slept properly in days.",0.746,High
SVC00009,25,7,52,56.2,18,10,5.83,11,0,0,7,"Standard patrol schedule, no major issues.",0.595,Medium
SVC00009,25,7,56,83.2,29,7,8.06,11,1,0,9,"Standard patrol schedule, no major issues.",0.638,Medium
SVC00009,25,7,76,60.0,26,12,6.68,1,0,0,3,"Nothing unusual, just getting through the schedule.",0.779,High
SVC00009,25,7,1,30.0,21,12,7.97,14,0,0,2,"Had a great time during the sports session, morale is high.",0.202,Low
SVC00010,35,17,70,33.3,21,11,6.33,7,0,0,8,"Standard patrol schedule, no major issues.",0.52,Medium
SVC00010,35,17,38,71.5,25,14,5.05,11,1,0,9,"Usual duty hours, a bit tired but okay overall.",0.667,High
SVC00010,35,17,3,70.8,13,13,4.98,3,1,0,2,"Usual duty hours, a bit tired but okay overall.",0.559,Medium
SVC00010,35,17,65,42.6,15,4,5.13,4,0,0,5,"Been a normal week, keeping busy with regular tasks.",0.582,Medium
SVC00010,35,17,65,60.5,11,13,6.7,6,0,0,7,"Feeling isolated, it's been weeks since I saw my family.",0.503,Medium
SVC00010,35,17,53,39.6,11,5,5.04,0,1,0,4,"Usual duty hours, a bit tired but okay overall.",0.634,Medium
SVC00011,20,2,84,54.3,4,8,6.11,8,0,0,3,"Nothing unusual, just getting through the schedule.",0.483,Medium
SVC00011,20,2,43,49.0,20,13,3.07,5,0,0,10,"Nothing unusual, just getting through the schedule.",0.557,Medium
SVC00011,20,2,40,42.0,29,9,8.29,2,0,0,10,"Standard patrol schedule, no major issues.",0.402,Medium
SVC00011,20,2,70,45.8,27,14,6.51,6,0,0,10,"Standard patrol schedule, no major issues.",0.604,Medium
SVC00011,20,2,72,58.5,13,12,6.78,1,0,0,4,"Been a normal week, keeping busy with regular tasks.",0.624,Medium
SVC00011,20,2,70,42.3,22,11,7.13,7,0,0,1,"Nothing unusual, just getting through the schedule.",0.595,Medium
SVC00012,38,9,61,45.6,21,13,7.97,5,0,0,3,"Struggling to cope, everything feels overwhelming lately.",0.693,High
SVC00012,38,9,53,48.3,3,4,5.95,17,0,0,2,"Nothing unusual, just getting through the schedule.",0.374,Low
SVC00012,38,9,58,48.0,9,8,7.0,2,1,0,1,"Usual duty hours, a bit tired but okay overall.",0.551,Medium
SVC00012,38,9,31,72.0,4,1,6.96,1,0,0,10,"Been a normal week, keeping busy with regular tasks.",0.56,Medium
SVC00012,38,9,80,51.8,29,7,5.75,10,1,0,9,"Nothing unusual, just getting through the schedule.",0.594,Medium
SVC00012,38,9,19,55.3,18,0,4.49,5,0,0,4,"Nothing unusual, just getting through the schedule.",0.636,Medium
SVC00013,28,10,57,59.5,13,14,5.52,19,0,0,3,"Been a normal week, keeping busy with regular tasks.",0.511,Medium
SVC00013,28,10,29,46.5,3,4,6.61,19,0,0,10,"Had a great time during the sports session, morale is high.",0.272,Low
SVC00013,28,10,4,40.4,7,14,5.94,9,0,0,9,"Good day today, training went well and I got some rest.",0.289,Low
SVC00013,28,10,81,41.1,21,14,5.91,6,0,0,3,"Routine day, nothing much to report.",0.56,Medium
SVC00013,28,10,10,37.4,15,0,7.09,6,0,0,6,"Usual duty hours, a bit tired but okay overall.",0.547,Medium
SVC00013,28,10,83,40.9,14,5,6.57,4,1,0,9,"Been a normal week, keeping busy with regular tasks.",0.568,Medium
SVC00014,31,5,8,61.3,0,12,4.09,0,0,0,1,"Standard patrol schedule, no major issues.",0.486,Medium
SVC00014,31,5,0,63.2,16,9,6.87,17,0,0,8,"Nothing unusual, just getting through the schedule.",0.416,Medium
SVC00014,31,5,54,73.4,2,5,5.0,2,0,0,4,"Struggling to cope, everything feels overwhelming lately.",0.736,High
SVC00014,31,5,28,59.6,26,0,3.88,7,0,0,1,"Nothing unusual, just getting through the schedule.",0.897,High
SVC00014,31,5,28,55.1,4,8,6.22,15,0,0,2,"Good day today, training went well and I got some rest.",0.491,Medium
SVC00014,31,5,84,73.6,0,8,6.21,11,1,0,2,"Struggling to cope, everything feels overwhelming lately.",0.651,High
SVC00015,35,17,31,30.6,20,2,7.49,0,0,0,9,"Usual duty hours, a bit tired but okay overall.",0.407,Medium
SVC00015,35,17,47,56.6,12,7,7.63,14,0,1,10,"Standard patrol schedule, no major issues.",0.397,Low
SVC00015,35,17,32,46.0,16,14,6.6,1,0,0,5,"Routine day, nothing much to report.",0.412,Medium
SVC00015,35,17,62,38.1,6,5,3.78,9,1,0,1,"Been a normal week, keeping busy with regular tasks.",0.415,Medium
SVC00015,35,17,86,38.5,17,11,5.22,18,0,0,1,"Feeling isolated, it's been weeks since I saw my family.",0.676,High
SVC00015,35,17,19,52.4,30,12,6.08,14,0,0,4,"Been a normal week, keeping busy with regular tasks.",0.599,Medium
SVC00016,20,2,45,62.9,14,5,6.56,7,0,0,4,"Struggling to cope, everything feels overwhelming lately.",0.521,Medium
SVC00016,20,2,22,34.7,14,11,6.31,6,0,0,3,"Standard patrol schedule, no major issues.",0.452,Medium
SVC00016,20,2,23,55.3,0,7,7.14,4,0,0,7,"Usual duty hours, a bit tired but okay overall.",0.425,Medium
SVC00016,20,2,69,51.7,23,13,7.43,12,1,0,10,"Standard patrol schedule, no major issues.",0.604,Medium
SVC00016,20,2,8,31.6,23,9,5.47,10,0,0,2,"Standard patrol schedule, no major issues.",0.585,Medium
SVC00016,20,2,66,57.7,26,5,6.71,2,0,0,8,"Feeling isolated, it's been weeks since I saw my family.",0.658,High
SVC00017,51,23,9,39.1,19,2,6.72,1,0,0,5,"Feeling isolated, it's been weeks since I saw my family.",0.582,Medium
SVC00017,51,23,48,68.4,16,4,5.79,4,1,0,4,The back-to-back duty shifts are wearing me down badly.,0.799,High
SVC00017,51,23,35,49.2,16,5,6.21,2,1,1,4,"Standard patrol schedule, no major issues.",0.52,Medium
SVC00017,51,23,79,62.4,0,2,7.35,18,0,0,10,"Standard patrol schedule, no major issues.",0.399,Low
SVC00017,51,23,76,56.6,30,12,3.96,14,0,1,6,"Routine day, nothing much to report.",0.743,High
SVC00017,51,23,59,52.0,19,9,8.3,15,1,0,8,"Routine day, nothing much to report.",0.393,Low
SVC00018,50,2,72,48.6,3,11,6.49,12,1,0,8,"Standard patrol schedule, no major issues.",0.394,Low
SVC00018,50,2,6,57.6,14,7,6.5,6,0,0,6,"Slept well last night, feeling fresh for duty.",0.402,Medium
SVC00018,50,2,68,59.3,14,7,5.57,3,1,0,4,"Routine day, nothing much to report.",0.665,High
SVC00018,50,2,65,53.5,22,13,7.27,3,0,0,7,"Nothing unusual, just getting through the schedule.",0.608,Medium
SVC00018,50,2,8,60.0,4,9,7.18,6,0,0,1,"Feeling isolated, it's been weeks since I saw my family.",0.453,Medium
SVC00018,50,2,83,52.6,20,13,5.76,5,0,0,10,"Nothing unusual, just getting through the schedule.",0.577,Medium
SVC00019,39,21,52,52.4,18,4,7.56,12,1,0,6,"Had a great time during the sports session, morale is high.",0.558,Medium
SVC00019,39,21,55,45.3,5,14,7.08,6,0,0,4,"Nothing unusual, just getting through the schedule.",0.471,Medium
SVC00019,39,21,22,45.5,29,13,4.96,18,0,0,10,"Been a normal week, keeping busy with regular tasks.",0.468,Medium
SVC00019,39,21,41,69.7,18,9,6.73,6,0,0,3,"Had a great time during the sports session, morale is high.",0.762,High
SVC00019,39,21,51,51.3,5,0,6.79,6,0,0,7,"Been a normal week, keeping busy with regular tasks.",0.467,Medium
SVC00019,39,21,41,41.0,30,14,7.91,3,0,2,10,"Routine day, nothing much to report.",0.53,Medium
SVC00020,36,18,41,33.5,3,8,5.84,3,0,0,3,"Extremely exhausted, haven't slept properly in days.",0.467,Medium
SVC00020,36,18,90,51.2,3,1,6.84,2,0,0,10,"Usual duty hours, a bit tired but okay overall.",0.572,Medium
SVC00020,36,18,61,38.8,10,11,4.44,18,0,0,9,"Solid week, workload was manageable and the team is in good spirits.",0.482,Medium
SVC00020,36,18,20,53.2,27,8,7.67,17,0,0,3,"Routine day, nothing much to report.",0.584,Medium
SVC00020,36,18,7,49.2,13,1,5.85,0,0,0,1,"Solid week, workload was manageable and the team is in good spirits.",0.491,Medium
SVC00020,36,18,49,43.8,1,1,5.99,10,0,0,8,"Been a normal week, keeping busy with regular tasks.",0.424,Medium
SVC00021,36,10,33,45.5,20,11,7.1,15,0,0,1,"Been a normal week, keeping busy with regular tasks.",0.567,Medium
SVC00021,36,10,90,55.3,30,9,7.11,18,1,0,4,"Standard patrol schedule, no major issues.",0.588,Medium
SVC00021,36,10,59,48.9,7,11,4.92,14,0,0,6,"Nothing unusual, just getting through the schedule.",0.414,Medium
SVC00021,36,10,54,30.0,19,3,4.9,5,0,0,8,"Routine day, nothing much to report.",0.516,Medium
SVC00021,36,10,47,36.2,13,8,5.16,16,0,0,1,"Been a normal week, keeping busy with regular tasks.",0.473,Medium
SVC00021,36,10,15,50.3,2,7,7.51,16,0,0,10,"Usual duty hours, a bit tired but okay overall.",0.371,Low
SVC00022,43,1,19,36.1,3,6,6.75,1,0,0,2,"Standard patrol schedule, no major issues.",0.377,Low
SVC00022,43,1,32,55.6,28,9,5.56,16,1,0,9,"Standard patrol schedule, no major issues.",0.408,Medium
SVC00022,43,1,11,67.9,29,11,7.88,13,1,0,6,"Solid week, workload was manageable and the team is in good spirits.",0.589,Medium
SVC00022,43,1,83,45.4,24,12,4.66,19,0,1,9,"Usual duty hours, a bit tired but okay overall.",0.451,Medium
SVC00022,43,1,59,59.4,9,14,7.86,2,0,0,7,"Standard patrol schedule, no major issues.",0.526,Medium
SVC00022,43,1,34,30.3,28,10,4.17,7,0,0,4,"Standard patrol schedule, no major issues.",0.561,Medium
SVC00023,32,10,6,72.9,11,4,7.5,3,0,0,8,"Standard patrol schedule, no major issues.",0.503,Medium
SVC00023,32,10,47,59.9,25,2,6.97,11,0,1,2,Really frustrated and anxious about the extended deployment.,0.653,High
SVC00023,32,10,56,71.4,1,13,5.92,11,0,0,3,"Standard patrol schedule, no major issues.",0.565,Medium
SVC00023,32,10,51,36.1,24,13,8.8,17,0,0,7,"Routine day, nothing much to report.",0.369,Low
SVC00023,32,10,19,62.1,16,1,5.34,19,0,0,10,The back-to-back duty shifts are wearing me down badly.,0.34,Low
SVC00023,32,10,43,49.0,19,14,4.9,18,0,0,5,"Usual duty hours, a bit tired but okay overall.",0.404,Medium
SVC00024,49,3,25,74.0,2,0,6.69,10,0,0,5,"Been a normal week, keeping busy with regular tasks.",0.496,Medium
SVC00024,49,3,56,54.7,18,6,6.58,18,0,0,3,"Standard patrol schedule, no major issues.",0.454,Medium
SVC00024,49,3,86,55.2,6,12,8.62,4,0,0,1,"Routine day, nothing much to report.",0.553,Medium
SVC00024,49,3,39,57.3,6,8,4.86,9,0,0,10,"Routine day, nothing much to report.",0.476,Medium
SVC00024,49,3,28,36.5,29,13,7.14,2,0,0,8,"Standard patrol schedule, no major issues.",0.443,Medium
SVC00024,49,3,64,47.5,12,14,3.95,1,0,0,6,"Usual duty hours, a bit tired but okay overall.",0.473,Medium
SVC00025,43,25,49,61.9,25,9,4.11,16,0,0,4,"Usual duty hours, a bit tired but okay overall.",0.678,High
SVC00025,43,25,88,66.7,23,7,5.79,17,0,0,4,The back-to-back duty shifts are wearing me down badly.,0.793,High
SVC00025,43,25,70,41.0,6,13,8.12,1,0,0,1,"Usual duty hours, a bit tired but okay overall.",0.638,Medium
SVC00025,43,25,46,58.9,27,14,7.74,11,0,0,1,"Usual duty hours, a bit tired but okay overall.",0.608,Medium
SVC00025,43,25,83,59.8,20,9,6.87,10,0,0,9,"Extremely exhausted, haven't slept properly in days.",0.669,High
SVC00025,43,25,8,78.8,12,6,7.46,16,0,0,4,"Routine day, nothing much to report.",0.566,Medium
SVC00026,42,6,61,63.1,23,10,7.17,14,0,0,10,"Routine day, nothing much to report.",0.428,Medium
SVC00026,42,6,46,46.7,8,14,4.58,10,0,0,5,"Been a normal week, keeping busy with regular tasks.",0.365,Low
SVC00026,42,6,58,55.5,18,14,8.17,9,0,0,9,"Been a normal week, keeping busy with regular tasks.",0.488,Medium
SVC00026,42,6,71,69.6,14,9,9.19,15,0,0,7,"Feeling isolated, it's been weeks since I saw my family.",0.58,Medium
SVC00026,42,6,54,63.9,13,5,4.53,10,0,0,6,"Been a normal week, keeping busy with regular tasks.",0.613,Medium
SVC00026,42,6,34,30.0,19,3,5.99,17,0,1,3,"Routine day, nothing much to report.",0.512,Medium
SVC00027,26,8,15,42.3,21,11,4.42,7,0,0,3,"Usual duty hours, a bit tired but okay overall.",0.553,Medium
SVC00027,26,8,75,47.8,21,6,6.62,9,0,0,3,"Standard patrol schedule, no major issues.",0.629,Medium
SVC00027,26,8,30,56.0,11,3,6.85,9,0,0,2,"Usual duty hours, a bit tired but okay overall.",0.592,Medium
SVC00027,26,8,1,62.7,13,12,4.01,7,0,1,7,"Standard patrol schedule, no major issues.",0.379,Low
SVC00027,26,8,55,49.2,25,13,5.65,7,0,0,5,"Standard patrol schedule, no major issues.",0.483,Medium
SVC00027,26,8,37,55.7,23,8,4.69,19,0,0,2,Really frustrated and anxious about the extended deployment.,0.524,Medium
SVC00028,24,6,11,50.7,12,12,5.89,12,0,0,7,"Usual duty hours, a bit tired but okay overall.",0.401,Medium
SVC00028,24,6,67,45.0,1,11,4.41,8,0,0,8,"Routine day, nothing much to report.",0.46,Medium
SVC00028,24,6,83,53.7,28,4,4.71,13,0,0,4,Really frustrated and anxious about the extended deployment.,0.737,High
SVC00028,24,6,89,52.3,13,11,6.64,15,0,0,9,"Usual duty hours, a bit tired but okay overall.",0.472,Medium
SVC00028,24,6,33,56.1,30,3,6.0,4,0,0,2,"Usual duty hours, a bit tired but okay overall.",0.631,Medium
SVC00028,24,6,21,40.2,5,8,4.4,8,1,0,2,"Nothing unusual, just getting through the schedule.",0.497,Medium
SVC00029,28,10,90,51.3,22,14,7.84,1,0,0,5,"Standard patrol schedule, no major issues.",0.646,Medium
SVC00029,28,10,19,47.4,28,9,5.87,5,0,0,1,Really frustrated and anxious about the extended deployment.,0.658,High
SVC00029,28,10,36,55.9,26,3,6.95,0,0,0,2,"Feeling steady. Caught up with family on call, that helped a lot.",0.718,High
SVC00029,28,10,77,71.1,16,0,7.6,10,0,0,4,"Routine day, nothing much to report.",0.694,High
SVC00029,28,10,85,30.8,30,6,6.21,3,0,0,6,"Nothing unusual, just getting through the schedule.",0.492,Medium
SVC00029,28,10,21,52.6,20,7,7.72,17,0,1,4,"Usual duty hours, a bit tired but okay overall.",0.507,Medium
SVC00030,38,20,17,30.9,0,10,6.37,3,0,0,10,"Good day today, training went well and I got some rest.",0.375,Low
SVC00030,38,20,54,52.0,12,1,5.29,5,0,1,8,"Usual duty hours, a bit tired but okay overall.",0.572,Medium
SVC00030,38,20,21,56.4,18,14,5.84,16,0,0,4,"Standard patrol schedule, no major issues.",0.571,Medium
SVC00030,38,20,41,45.5,10,11,6.02,0,1,0,6,"Usual duty hours, a bit tired but okay overall.",0.437,Medium
SVC00030,38,20,66,37.0,27,8,5.59,10,0,0,5,"Routine day, nothing much to report.",0.55,Medium
SVC00030,38,20,9,30.0,19,13,8.67,10,0,0,4,"Good day today, training went well and I got some rest.",0.366,Low
SVC00031,32,14,52,39.8,5,13,5.44,16,0,0,4,"Usual duty hours, a bit tired but okay overall.",0.436,Medium
SVC00031,32,14,6,75.1,2,1,6.33,10,0,0,9,"Slept well last night, feeling fresh for duty.",0.433,Medium
SVC00031,32,14,40,34.7,16,6,7.39,8,0,0,5,"Been a normal week, keeping busy with regular tasks.",0.455,Medium
SVC00031,32,14,68,58.1,7,10,7.07,6,0,0,9,"Been a normal week, keeping busy with regular tasks.",0.422,Medium
SVC00031,32,14,41,44.6,21,1,5.46,5,0,0,3,"Been a normal week, keeping busy with regular tasks.",0.765,High
SVC00031,32,14,84,37.9,4,9,5.38,13,0,0,1,"Standard patrol schedule, no major issues.",0.427,Medium
SVC00032,31,13,70,48.3,7,6,6.29,10,0,0,1,"Been a normal week, keeping busy with regular tasks.",0.611,Medium
SVC00032,31,13,87,38.5,16,14,7.25,14,0,0,6,"Nothing unusual, just getting through the schedule.",0.522,Medium
SVC00032,31,13,88,32.9,29,8,7.52,3,0,0,7,"Standard patrol schedule, no major issues.",0.605,Medium
SVC00032,31,13,64,48.1,0,14,5.47,3,0,0,2,"Usual duty hours, a bit tired but okay overall.",0.497,Medium
SVC00032,31,13,26,30.0,23,3,6.2,18,0,0,4,"Nothing unusual, just getting through the schedule.",0.375,Low
SVC00032,31,13,31,54.0,7,9,7.06,11,1,0,8,"Nothing unusual, just getting through the schedule.",0.47,Medium
SVC00033,33,15,20,62.3,9,3,5.06,19,1,0,1,"Usual duty hours, a bit tired but okay overall.",0.617,Medium
SVC00033,33,15,15,54.6,15,6,8.12,8,0,0,6,"Had a great time during the sports session, morale is high.",0.543,Medium
SVC00033,33,15,40,30.0,3,11,4.75,3,0,0,1,"Been a normal week, keeping busy with regular tasks.",0.492,Medium
SVC00033,33,15,5,57.7,28,8,5.98,0,0,0,9,"Usual duty hours, a bit tired but okay overall.",0.626,Medium
SVC00033,33,15,6,64.3,19,13,6.4,10,1,0,2,"Routine day, nothing much to report.",0.638,Medium
SVC00033,33,15,65,37.7,29,14,3.82,11,0,0,4,"Routine day, nothing much to report.",0.534,Medium
SVC00034,32,14,64,30.0,16,9,4.82,12,0,0,8,"Been a normal week, keeping busy with regular tasks.",0.48,Medium
SVC00034,32,14,54,30.0,5,0,5.44,11,0,0,5,"Usual duty hours, a bit tired but okay overall.",0.364,Low
SVC00034,32,14,55,50.4,28,4,4.69,18,0,0,8,"Extremely exhausted, haven't slept properly in days.",0.592,Medium
SVC00034,32,14,50,58.6,2,12,7.75,18,0,0,7,"Been a normal week, keeping busy with regular tasks.",0.31,Low
SVC00034,32,14,6,64.3,5,12,7.67,14,0,1,6,"Usual duty hours, a bit tired but okay overall.",0.385,Low
SVC00034,32,14,19,47.2,18,14,7.88,1,0,0,3,"Standard patrol schedule, no major issues.",0.4,Medium
SVC00035,41,15,84,37.3,19,14,5.71,9,0,0,1,"Been a normal week, keeping busy with regular tasks.",0.534,Medium
SVC00035,41,15,68,54.9,15,5,5.35,14,0,0,6,"Routine day, nothing much to report.",0.493,Medium
SVC00035,41,15,10,54.0,21,7,5.85,5,0,0,2,"Usual duty hours, a bit tired but okay overall.",0.603,Medium
SVC00035,41,15,40,61.6,16,7,5.8,8,0,0,1,The back-to-back duty shifts are wearing me down badly.,0.681,High
SVC00035,41,15,1,70.9,10,6,6.42,15,0,0,9,"Been a normal week, keeping busy with regular tasks.",0.36,Low
SVC00035,41,15,46,42.8,26,6,4.43,1,1,0,8,"Been a normal week, keeping busy with regular tasks.",0.621,Medium
SVC00036,47,16,57,78.6,22,0,5.33,19,0,0,6,"Extremely exhausted, haven't slept properly in days.",0.8,High
SVC00036,47,16,41,66.3,15,4,4.56,3,0,0,10,"Routine day, nothing much to report.",0.627,Medium
SVC00036,47,16,8,59.0,0,13,6.22,19,0,0,10,"Good day today, training went well and I got some rest.",0.189,Low
SVC00036,47,16,25,30.0,26,5,5.58,18,0,0,10,"Standard patrol schedule, no major issues.",0.406,Medium
SVC00036,47,16,18,46.4,14,2,4.91,7,0,0,3,"Struggling to cope, everything feels overwhelming lately.",0.706,High
SVC00036,47,16,32,40.1,1,8,6.85,0,0,0,10,"Had a great time during the sports session, morale is high.",0.289,Low
SVC00037,28,10,67,59.0,28,14,3.85,3,0,1,8,Really frustrated and anxious about the extended deployment.,0.663,High
SVC00037,28,10,48,49.9,13,9,6.16,1,0,0,10,"Usual duty hours, a bit tired but okay overall.",0.373,Low
SVC00037,28,10,24,52.7,8,2,6.16,8,0,0,4,"Usual duty hours, a bit tired but okay overall.",0.521,Medium
SVC00037,28,10,18,53.9,18,14,7.21,0,0,0,6,"Been a normal week, keeping busy with regular tasks.",0.499,Medium
SVC00037,28,10,76,53.6,5,6,6.32,14,0,1,9,"Routine day, nothing much to report.",0.525,Medium
SVC00037,28,10,8,43.4,4,0,5.84,14,0,0,8,"Had a great time during the sports session, morale is high.",0.289,Low
SVC00038,34,16,3,54.4,30,5,5.86,0,0,0,9,"Been a normal week, keeping busy with regular tasks.",0.63,Medium
SVC00038,34,16,45,42.3,14,3,6.16,0,0,0,2,"Feeling isolated, it's been weeks since I saw my family.",0.64,Medium
SVC00038,34,16,60,47.5,30,7,5.16,19,0,0,6,"Routine day, nothing much to report.",0.619,Medium
SVC00038,34,16,28,48.0,8,14,6.71,2,0,0,4,"Standard patrol schedule, no major issues.",0.502,Medium
SVC00038,34,16,46,51.2,15,1,5.1,13,1,0,3,"Usual duty hours, a bit tired but okay overall.",0.575,Medium
SVC00038,34,16,44,45.7,13,10,7.89,2,0,1,9,"Feeling steady. Caught up with family on call, that helped a lot.",0.328,Low
SVC00039,31,11,32,48.4,9,2,6.64,17,0,0,3,"Routine day, nothing much to report.",0.518,Medium
SVC00039,31,11,30,54.8,13,1,4.9,17,1,0,8,"Standard patrol schedule, no major issues.",0.626,Medium
SVC00039,31,11,27,40.8,14,5,6.25,13,0,0,4,"Usual duty hours, a bit tired but okay overall.",0.47,Medium
SVC00039,31,11,31,45.5,30,11,6.32,5,1,1,6,"Nothing unusual, just getting through the schedule.",0.623,Medium
SVC00039,31,11,63,63.8,24,6,8.51,8,0,0,6,"Nothing unusual, just getting through the schedule.",0.63,Medium
SVC00039,31,11,79,53.1,28,9,6.31,11,1,0,9,"Struggling to cope, everything feels overwhelming lately.",0.655,High
